episode,time,sin_theta1,cos_theta1,sin_theta2,cos_theta2,omega1,omega2
2,9.91399999999998,-0.19867138164298612,-0.9800661621115521,0.9997808757264137,-0.02093323987645949,3.601485792730273,-7.9990988345764436
2,9.91599999999998,-0.20572974378158007,-0.9786088455167189,0.9999882772529356,-0.004842040551877133,3.6061767987798703,-8.094163739147916
2,9.91799999999998,-0.2127873901747293,-0.9770985245013051,0.9999345423370558,0.011441636298310916,3.611700386380562,-8.190367440420005
2,9.919999999999982,-0.21984555122443947,-0.9755346911344682,0.9996102785809843,0.027915783264078172,3.61807720488423,-8.287776610028914
2,9.921999999999985,-0.22690548461652943,-0.9739167834322078,0.9990058972651217,0.044578214741163,3.6253285170801064,-8.38646046760823
2,9.923999999999984,-0.23396847531469922,-0.9722441836076547,0.9981116060265918,0.06142655708256544,3.633476246695409,-8.48649089068931
2,9.925999999999984,-0.24103583558719663,-0.9705162162286531,0.9969174012377406,0.07845823799569887,3.642543026788644,-8.58794252915959
2,9.927999999999985,-0.2481089050626347,-0.9687321462760594,0.9954130600863312,0.09567047511936937,3.652552248786833,-8.690892923769525
2,9.929999999999986,-0.25518905081070237,-0.9668911770961264,0.9935881323617578,0.11306026370867071,3.6635281119611136,-8.795422628222923
2,9.931999999999986,-0.2622776674427075,-0.9649924482403023,0.9914319319548006,0.13062436334915292,3.6754956730783306,-8.901615334244525
2,9.933999999999989,-0.2693761772257397,-0.9630350331858374,0.9889335280823872,0.14835928361421225,3.688480895880275,-9.009557998712125
2,9.935999999999988,-0.2764860302032264,-0.9610179369306593,0.9860817362536379,0.16626126857151907,3.7025106998621595,-9.119340971653173
2,9.937999999999988,-0.2836087043129635,-0.9589400934562712,0.9828651089993684,0.1843262800353211,3.71761300788512,-9.231058123745925
2,9.939999999999989,-0.29074570549233014,-0.9568003630526941,0.9792719263943694,0.20254997945164196,3.7338167918514955,-9.344806971416574
2,9.94199999999999,-0.2978985677581951,-0.954597529500059,0.9752901864104834,0.22092770829256458,3.751152115559762,-9.460688797154717
2,9.94399999999999,-0.30506885324684735,-0.9523302971021417,0.9709075951490028,0.239454466824029,3.7696501737004837,-9.578808762252038
2,9.94599999999999,-0.31225815219649544,-0.9499972875681437,0.9661115570136395,0.25812489109863296,3.789343325633581,-9.699276008278275
2,9.947999999999992,-0.3194680828516863,-0.9475970367403372,0.960889164900649,0.27693322801089315,3.810265122329838,-9.822203742880674
2,9.949999999999992,-0.3267002912652195,-0.9451279911669217,0.9552271905011765,0.2958733082372065,3.8324503244730295,-9.947709304422915
2,9.951999999999993,-0.33395645096858234,-0.9425885045217074,0.9491120748331399,0.3149385168662803,3.855934909304324,-10.075914198747114
2,9.953999999999994,-0.3412382624767999,-0.9399768338750772,0.9425299191466978,0.3341217615081652,3.8807560632558307,-10.206944099848215
2,9.955999999999994,-0.34854745258721265,-0.9372911358243845,0.935466476379459,0.3534154376512138,3.906952156751231,-10.340928804430405
2,9.957999999999997,-0.3558857734244497,-0.934529462496545,0.9279071433760981,0.37281139101643523,3.9345626968738543,-10.478002128174467
2,9.959999999999996,-0.3632550011752649,-0.9316897574413697,0.919836954133193,0.3923008766380342,3.963628252551189,-10.61830172880991
2,9.961999999999996,-0.3706569344465685,-0.9287698514415034,0.9112405743853298,0.4118745143777341,3.9941903459725836,-10.761968838133726
2,9.963999999999997,-0.3780933921682259,-0.9257674582737957,0.9021022979145629,0.43152224055923843,4.026291302513528,-10.90914788118198
2,9.965999999999998,-0.3855662109479451,-0.9226801704682098,0.8924060450441667,0.451233255388639,4.059974049886478,-11.059985956228502
2,9.967999999999998,-0.39307724176922076,-0.919505455124167,0.882135363871606,0.4709959658076801,4.095281855482426,-11.214632144103007
2,9.97,-0.4006283459039127,-0.9162406498613205,0.8712734349075164,0.4907979234109062,4.132257988531819,-11.373236608764046
2,9.972,-0.4082213898885334,-0.9128829590026719,0.8598030799202986,0.510625757046752,4.1709452911604785,-11.535949443506524
2,9.974,-0.41585823938718824,-0.9094294501135247,0.8477067759432232,0.5304650997190541,4.211385639422588,-11.702919208511275
2,9.976,-0.4235407517335957,-0.9058770510510467,0.8349666755866316,0.5503005094126379,4.253619271741172,-11.874291094918135
2,9.978000000000002,-0.43127076690981286,-0.9022225477170375,0.8215646350161343,0.5701153834889969,4.297683958130619,-12.050204638622063
2,9.980000000000002,-0.4390500966791901,-0.8984625827523336,0.8074822512131921,0.5898918663413452,4.343613978955091,-12.230790893539734
2,9.982000000000005,-0.44688051154569225,-0.8945936554663577,0.792700910431519,0.609610750070109,4.391438876668417,-12.41616895850052
2,9.984000000000004,-0.4547637251608775,-0.8906121233611195,0.7772018501056286,0.6292513680496754,4.441181938209866,-12.606441734927103
2,9.986000000000004,-0.462701375743476,-0.8865142056871366,0.7609662368596463,0.6487914814173108,4.492858359665661,-12.801690774465442
2,9.988000000000005,-0.47069500401561715,-0.8822959895606112,0.7439752637067261,0.6682071587408409,4.546473038437398,-13.001970056770915
2,9.990000000000006,-0.4787460270954925,-0.8779534392781213,0.72621027002026,0.6874726494320346,4.602017932129002,-13.207298519569804
2,9.992000000000006,-0.48685570772109127,-0.8734824095878493,0.707652888391047,0.7065602518906708,4.659468918406674,-13.417651147844936
2,9.994000000000009,-0.4950251181178507,-0.8688786638146939,0.6882852230454574,0.7254401779177005,4.718782086928968,-13.632948418834985
2,9.996000000000008,-0.5032550977704641,-0.8641378978890121,0.6680900650634417,0.7440804156564841,4.779889394817474,-13.853043899346176
2,9.998000000000008,-0.5115462043250781,-0.8592557714910068,0.6470511501614213,0.7624465942443325,4.842693623154446,-14.077709807750125
2,10.000000000000009,-0.5198986568448964,-0.8542279476877777,0.6251534652319397,0.7805018545195764,4.875277683010023,-14.194126571678659
3,0.002,-0.19271705599285893,0.9812543688205649,0.16788669464904554,0.9858062982958763,-0.07800799982922513,0.9399513580127774
3,0.004,-0.1928697152618339,0.9812243744092475,0.1697395139968723,0.9854889636054306,-0.0857567707751059,0.9583652915714964
